black_id,black_rating
isachess191                                                                                         ,1826
whfo192                                                                                             ,1267
taranga193                                                                                          ,1270
taranga194                                                                                          ,1281
taranga195                                                                                          ,1292
piroz_xucestih196                                                                                   ,1293
taranga197                                                                                          ,1317
taranga198                                                                                          ,1305
taranga199                                                                                          ,1305
vikrant_dalvi200                                                                                    ,1466
taranga201                                                                                          ,1299
jamila1234202                                                                                       ,1232
hknight_chess203                                                                                    ,2108
taranga204                                                                                          ,1289
taranga205                                                                                          ,1289
yugesh_naidu206                                                                                     ,1311
taranga207                                                                                          ,1289
andreas636208                                                                                       ,1484
armourbuddy209                                                                                      ,1810
taranga210                                                                                          ,1289
snapper211                                                                                          ,1500
taranga212                                                                                          ,1297
moon50213                                                                                           ,1485
italiantranslator214                                                                                ,1211
taranga215                                                                                          ,1280
naoufel216                                                                                          ,1765
moon50217                                                                                           ,1454
taranga218                                                                                          ,1270
moon50219                                                                                           ,1534
moon50220                                                                                           ,1663
taranga221                                                                                          ,1238
hsanderr222                                                                                         ,1417
madara21223                                                                                         ,1732
taranga224                                                                                          ,1234
kingofchess2017225                                                                                  ,1219
dbschultz226                                                                                        ,1600
dbschultz227                                                                                        ,1617
nienkotter228                                                                                       ,1358
robin512229                                                                                         ,1325
jdominguez230                                                                                       ,1265
sam7neeee231                                                                                        ,1950
batatinhaazul232                                                                                    ,1249
thegrim123321233                                                                                    ,1389
baconneggs234                                                                                       ,1361
thegrim123321235                                                                                    ,1371
brainiac007236                                                                                      ,1429
danilo1961237                                                                                       ,1368
thegrim123321238                                                                                    ,1371
merthy70239                                                                                         ,1326
thegrim123321240                                                                                    ,1383
thegrim123321241                                                                                    ,1399
ranie123242                                                                                         ,1447
thegrim123321243                                                                                    ,1387
tecnoch244                                                                                          ,1351
dantesmontecristo245                                                                                ,1339
gallosantoss246                                                                                     ,1400
thegrim123321247                                                                                    ,1389
thegrim123321248                                                                                    ,1378
ziogasparo14249                                                                                     ,1257
tcgil250                                                                                            ,1332
thegrim123321251                                                                                    ,1360
thegrim123321252                                                                                    ,1360
onafets26253                                                                                        ,1217
thegrim123321254                                                                                    ,1346
batuhh255                                                                                           ,1099
an73r05256                                                                                          ,1287
krishubhi257                                                                                        ,1555
eideral258                                                                                          ,1580
eideral259                                                                                          ,1547
eideral260                                                                                          ,1527
fva261                                                                                              ,1547
maumau62262                                                                                         ,1607
eideral263                                                                                          ,1557
arebest95264                                                                                        ,1632
eideral265                                                                                          ,1609
eideral266                                                                                          ,1558
abel4865267                                                                                         ,1730
eideral268                                                                                          ,1552
eideral269                                                                                          ,1552
atorius270                                                                                          ,1456
eideral271                                                                                          ,1478
grubear272                                                                                          ,1614
rangelelbano273                                                                                     ,1934
tabellaria274                                                                                       ,1613
tabellaria275                                                                                       ,1587
mattieuw2276                                                                                        ,1593
tabellaria277                                                                                       ,1546
snowden278                                                                                          ,1709
tabellaria279                                                                                       ,1527
blackphish280                                                                                       ,1379
jabar72281                                                                                          ,1501
tabellaria282                                                                                       ,1516
tabellaria283                                                                                       ,1495
little---a284                                                                                       ,1475
tabellaria285                                                                                       ,1440
xad55toque286                                                                                       ,1974
xtreh287                                                                                            ,1945
nadanadora288                                                                                       ,1611
nadanadora289                                                                                       ,1611
nadanadora290                                                                                       ,1611
qaisahleyorof291                                                                                    ,2059
googol100292                                                                                        ,1478
nadanadora293                                                                                       ,1552
googol100294                                                                                        ,1496
gatorman295                                                                                         ,1326
nadanadora296                                                                                       ,1500
ramirorldn297                                                                                       ,1557
vektor-mw298                                                                                        ,1577
eze33299                                                                                            ,1617
doom12384300                                                                                        ,1593
doom12384301                                                                                        ,1597
doom12384302                                                                                        ,1604
doom12384303                                                                                        ,1614
doom12384304                                                                                        ,1605
doom12384305                                                                                        ,1605
doom12384306                                                                                        ,1605
dimalesh307                                                                                         ,1475
doom12384308                                                                                        ,1605
doom12384309                                                                                        ,1605
jejeh310                                                                                            ,1500
doom12384311                                                                                        ,1605
jejeh312                                                                                            ,1500
doom12384313                                                                                        ,1605
bwalmer314                                                                                          ,1874
ajaysharma261253315                                                                                 ,1805
bwalmer316                                                                                          ,1861
yura_kudelia_12317                                                                                  ,1853
bwalmer318                                                                                          ,1863
wahana81319                                                                                         ,1609
tfeng320                                                                                            ,1607
ilkayus321                                                                                          ,1496
thesmallbang322                                                                                     ,1581
tfeng323                                                                                            ,1623
mikeu324                                                                                            ,1614
tfeng325                                                                                            ,1624
tfeng326                                                                                            ,1621
bishopkerry01327                                                                                    ,1684
tfeng328                                                                                            ,1619
kei0075329                                                                                          ,1617
facurezzo330                                                                                        ,1495
tfeng331                                                                                            ,1643
wahidmahmom90332                                                                                    ,1652
tfeng333                                                                                            ,1641
marcel55334                                                                                         ,1638
tfeng335                                                                                            ,1624
locomotora336                                                                                       ,1419
ewama337                                                                                            ,1659
tfeng338                                                                                            ,1639
tfeng339                                                                                            ,1627
tfeng340                                                                                            ,1636
traverru341                                                                                         ,1635
tmanu342                                                                                            ,1627
mstelles343                                                                                         ,1631
tfeng344                                                                                            ,1615
tfeng345                                                                                            ,1603
tfeng346                                                                                            ,1591
ironboy347                                                                                          ,1623
tfeng348                                                                                            ,1581
tfeng349                                                                                            ,1569
rmorais23350                                                                                        ,1555
eyany351                                                                                            ,1557
tfeng352                                                                                            ,1571
tfeng353                                                                                            ,1567
agusfil354                                                                                          ,1419
tfeng355                                                                                            ,1564
tfeng356                                                                                            ,1549
gardoim357                                                                                          ,1678
tfeng358                                                                                            ,1538
tienc12345359                                                                                       ,1921
elham1360                                                                                           ,1737
tienc12345361                                                                                       ,1887
tienc12345362                                                                                       ,1712
dmitriy8888363                                                                                      ,1568
arjunshenoyk364                                                                                     ,2132
iamasd1365                                                                                          ,1124
rustam9366                                                                                          ,951
b3nszy367                                                                                           ,1070
bohne368                                                                                            ,1149
rustam9369                                                                                          ,985
granham370                                                                                          ,1247
rustam9371                                                                                          ,961
fiksse372                                                                                           ,1129
rustam9373                                                                                          ,970
juniohispano374                                                                                     ,937
rainbowstream375                                                                                    ,1126
madmadge376                                                                                         ,1153
brainsurgery377                                                                                     ,1151
rustam9378                                                                                          ,1016
rustam9379                                                                                          ,1044
cromanoide380                                                                                       ,1200
ck666381                                                                                            ,1071
rustam9382                                                                                          ,1068
davidmcdavidface383                                                                                 ,1223
danst3rs384                                                                                         ,1213
rustam9385                                                                                          ,1337
mijndochterenik2151386                                                                              ,1500
wk2407387                                                                                           ,1571
josepoliutla388                                                                                     ,1866
spikyturtle389                                                                                      ,1373
vitruvio390                                                                                         ,1667
spikyturtle391                                                                                      ,1358
spikyturtle392                                                                                      ,1367
rfabian393                                                                                          ,1469
spikyturtle394                                                                                      ,1386
chess133395                                                                                         ,1408
zuzino396                                                                                           ,2148
jutton1397                                                                                          ,1395
jutton1398                                                                                          ,1414
jutton1399                                                                                          ,1400
ahmedham400                                                                                         ,1330
febozn401                                                                                           ,1242
jutton1402                                                                                          ,1357
jutton1403                                                                                          ,1357
deekay17404                                                                                         ,959
jutton1405                                                                                          ,1357
metaxas406                                                                                          ,1691
gennai407                                                                                           ,1586
fora-franc408                                                                                       ,1320
cagliostro97409                                                                                     ,1569
cagliostro97410                                                                                     ,1498
cagliostro97411                                                                                     ,1512
energique412                                                                                        ,1450
energique413                                                                                        ,1450
energique414                                                                                        ,1450
energique415                                                                                        ,1451
energique416                                                                                        ,1464
